;GHI
795;0
796;0
797;0
798;0
799;58
800;167
801;493
802;711
803;880
804;1050
805;1022
806;850
807;778
808;660
809;416
810;146
811;0
812;0
813;0
814;0
815;0
816;0
817;0
818;0
819;0
820;0
821;0
822;0
823;52
824;329
825;587
826;810
827;969
828;1038
829;953
830;899
831;853
832;668
833;416
834;124
835;0
836;0
837;0
838;0
839;0
840;0
841;0
842;0
843;0
844;0
845;0
846;0
847;80
848;197
849;322
850;671
851;864
852;1033
853;925
854;204
855;276
856;308
857;247
858;124
859;0
860;0
861;0
862;0
863;0
864;0
865;0
866;0
867;0
868;0
869;0
870;0
871;13
872;119
873;177
874;278
875;563
876;708
877;648
878;705
879;863
880;636
881;303
882;166
883;0
884;0
885;0
886;0
887;0
888;0
889;0
890;0
891;0
892;0
893;0
894;0
895;33
896;106
897;403
898;571
899;542
900;577
901;706
902;500
903;295
904;536
905;346
906;134
907;0
908;0
909;0
910;0
911;0
912;0
913;0
914;0
915;0
916;0
917;0
918;0
919;8
920;74
921;195
922;135
923;158
924;287
925;161
926;148
927;211
928;215
929;204
930;71
931;0
932;0
933;0
934;0
935;0
936;0
937;0
938;0
939;0
940;0
941;0
942;0
943;60
944;116
945;439
946;583
947;588
948;936
949;891
950;1015
951;760
952;279
953;260
954;54
955;0
956;0
957;0
958;0
959;0
960;0
961;0
962;0
963;0
964;0
965;0
966;0
967;73
968;321
969;570
970;799
971;905
972;1016
973;931
974;993
975;830
976;379
977;85
978;38
979;0
980;0
981;0
982;0
983;0
984;0
985;0
986;0
987;0
988;0
989;0
990;0
991;38
992;258
993;479
994;626
995;791
996;993
997;989
998;1020
999;821
1000;646
1001;422
1002;27
1003;0
1004;0
1005;0
1006;0
1007;0
1008;0
1009;0
1010;0
1011;0
1012;0
1013;0
1014;0
1015;52
1016;43
1017;105
1018;217
1019;443
1020;463
1021;729
1022;982
1023;402
1024;293
1025;250
1026;78
1027;0
1028;0
1029;0
1030;0
1031;0
1032;0
1033;0
1034;0
1035;0
1036;0
1037;0
1038;0
1039;17
1040;76
1041;390
1042;698
1043;868
1044;924
1045;845
1046;646
1047;844
1048;621
1049;398
1050;32
1051;0
1052;0
1053;0
1054;0
1055;0
1056;0
1057;0
1058;0
1059;0
1060;0
1061;0
1062;0
1063;31
1064;81
1065;259
1066;762
1067;920
1068;1067
1069;1081
1070;1003
1071;862
1072;659
1073;390
1074;129
1075;0
1076;0
1077;0
1078;0
1079;0
1080;0
1081;0
1082;0
1083;0
1084;0
1085;0
1086;0
1087;78
1088;322
1089;539
1090;805
1091;956
1092;1032
1093;954
1094;278
1095;852
1096;385
1097;37
1098;75
1099;0
1100;0
1101;0
1102;0
1103;0
1104;0
1105;0
1106;0
1107;0
1108;0
1109;0
1110;0
1111;62
1112;260
1113;566
1114;805
1115;966
1116;1038
1117;1006
1118;965
1119;782
1120;672
1121;382
1122;121
1123;0
1124;0
1125;0
1126;0
1127;0
1128;0
1129;0
1130;0
1131;0
1132;0
1133;0
1134;0
1135;28
1136;29
1137;135
1138;229
1139;515
1140;992
1141;1063
1142;1013
1143;842
1144;593
1145;297
1146;84
1147;0
1148;0
1149;0
1150;0
1151;0
1152;0
1153;0
1154;0
1155;0
1156;0
1157;0
1158;0
1159;61
1160;320
1161;571
1162;774
1163;971
1164;1089
1165;1104
1166;1035
1167;896
1168;508
1169;429
1170;145
1171;0
1172;0
1173;0
1174;0
1175;0
1176;0
1177;0
1178;0
1179;0
1180;0
1181;0
1182;0
1183;51
1184;233
1185;493
1186;645
1187;789
1188;115
1189;96
1190;90
1191;164
1192;372
1193;251
1194;97
1195;0
1196;0
1197;0
1198;0
1199;0
1200;0
1201;0
1202;0
1203;0
1204;0
1205;0
1206;0
1207;59
1208;331
1209;570
1210;807
1211;970
1212;1031
1213;1033
1214;995
1215;770
1216;662
1217;405
1218;152
1219;0
1220;0
1221;0
1222;0
1223;0
1224;0
1225;0
1226;0
1227;0
1228;0
1229;0
1230;0
1231;72
1232;311
1233;576
1234;807
1235;970
1236;1076
1237;1079
1238;1011
1239;830
1240;636
1241;298
1242;74
1243;0
1244;0
1245;0
1246;0
1247;0
1248;0
1249;0
1250;0
1251;0
1252;0
1253;0
1254;0
1255;57
1256;293
1257;439
1258;712
1259;938
1260;877
1261;687
1262;118
1263;108
1264;114
1265;189
1266;83
1267;0
1268;0
1269;0
1270;0
1271;0
1272;0
1273;0
1274;0
1275;0
1276;0
1277;0
1278;0
1279;34
1280;57
1281;417
1282;750
1283;860
1284;802
1285;738
1286;950
1287;551
1288;626
1289;385
1290;132
1291;0
1292;0
1293;0
1294;0
1295;0
1296;0
1297;0
1298;0
1299;0
1300;0
1301;0
1302;0
1303;51
1304;248
1305;513
1306;758
1307;720
1308;989
1309;1060
1310;1008
1311;869
1312;607
1313;406
1314;136
1315;0
1316;0
1317;0
1318;0
1319;0
1320;0
1321;0
1322;0
1323;0
1324;0
1325;0
1326;0
1327;56
1328;223
1329;383
1330;749
